row0=real_env, row1=wm_teacher_forced, row2=wm_open_loop
burnin_horizon=5
t,real_action,real_reward,real_done,wm_tf_reward,wm_tf_done_prob,wm_tf_done,wm_tf_obs_min,wm_tf_obs_max,wm_tf_obs_mean,wm_tf_obs_std,wm_tf_black_frac,wm_open_action,wm_open_reward,wm_open_done_prob,wm_open_done,wm_open_obs_min,wm_open_obs_max,wm_open_obs_mean,wm_open_obs_std,wm_open_black_frac
11,do(5),1.000,0,1.000,0.000,0,-0.056523,1.091234,0.331049,0.284903,0.194171,up(3),0.000,0.000,0,-0.056523,1.046683,0.393958,0.324801,0.202906
12,place_stone(7),1.000,0,1.000,0.000,0,-0.056523,1.046683,0.328120,0.285107,0.201730,up(3),0.000,0.000,0,-0.056523,1.046683,0.409475,0.322803,0.208785
13,do(5),0.000,0,0.000,0.000,0,-0.056523,1.091234,0.331049,0.284903,0.194171,left(1),0.000,0.000,0,-0.056523,1.046683,0.406990,0.314475,0.207021
14,place_furnace(9),1.000,0,1.000,0.000,0,-0.057668,1.093737,0.325777,0.285339,0.202654,up(3),0.000,0.000,0,-0.056523,1.046683,0.416169,0.311769,0.212312
15,down(4),0.000,0,0.000,0.000,0,-0.057668,1.093737,0.324883,0.307906,0.270681,do(5),1.000,0.000,0,-0.056523,1.046683,0.416169,0.311769,0.212312
16,do(5),0.000,0,0.000,0.000,0,-0.057668,1.093737,0.324883,0.307906,0.270681,left(1),0.000,0.000,0,-0.056523,1.046683,0.410160,0.301591,0.209373
17,do(5),0.000,0,0.000,0.000,0,-0.057668,1.093737,0.324883,0.307906,0.270681,left(1),0.000,0.000,0,-0.056523,1.046683,0.404802,0.293772,0.207609
18,do(5),0.000,0,0.000,0.000,0,-0.057668,1.093737,0.324883,0.307906,0.270681,left(1),0.000,0.000,0,-0.057668,1.093737,0.399811,0.284826,0.206685
19,do(5),0.000,0,0.000,0.000,0,-0.057668,1.093737,0.327310,0.308875,0.267658,do(5),1.000,0.000,0,-0.057668,1.093737,0.403119,0.285805,0.213824
20,do(5),0.000,0,1.000,0.000,0,-0.057668,1.093737,0.328124,0.310461,0.268246,place_stone(7),1.000,0.000,0,-0.057668,1.093737,0.400191,0.286746,0.221382
21,do(5),0.000,0,0.000,0.000,0,-0.057668,1.093737,0.328124,0.310461,0.268246,do(5),0.000,0.000,0,-0.057668,1.093737,0.403119,0.285805,0.213824
22,do(5),0.000,0,0.000,0.000,0,-0.057668,1.093737,0.328124,0.310461,0.268246,place_furnace(9),1.000,0.000,0,-0.057668,1.093737,0.398131,0.287414,0.222474
23,do(5),1.000,0,0.000,0.000,0,-0.057668,1.093737,0.328124,0.310461,0.268246,do(5),0.000,0.000,0,-0.057668,1.093737,0.398131,0.287414,0.222474
24,place_plant(10),1.000,0,1.000,0.000,0,-0.057668,1.093737,0.325257,0.309373,0.271773,do(5),0.000,0.000,0,-0.057668,1.093737,0.398131,0.287414,0.222474
